dataset_name,description,service_layer,geography_type,coverage,key_fields,query_capabilities,license,recommended_retrieval_method,update_frequency,relevance_rating,notes,include
MOH Public Health Unit Boundary,This data is subject to terms of use.,LIO_Open09/44,boundary,province,"PHU_ID, PHU_NAME_ENG, PHU_NAME_FR, EFFECTIVE_DATETIME","filter, pagination, geometry simplification",Open Government Licence – Ontario,sf::st_read(url),unknown (check EFFECTIVE_DATETIME),high,"Feature count: 34, GeoJSON support: True",TRUE
Ontario Health Region,"<DIV STYLE=""text-align:Left;font-size:12pt""><P><SPAN>This data is subject to terms of use.</SPAN></P...",LIO_Open09/52,boundary,province,"OH_REGION_ID, ENGLISH_NAME, FRENCH_NAME, EFFECTIVE_DATETIME","filter, pagination, geometry simplification",Open Government Licence – Ontario,sf::st_read(url),unknown (check EFFECTIVE_DATETIME),high,"Feature count: 6, GeoJSON support: True",TRUE
Municipal Bnd Upper And Dist,This data is subject to terms of use. [Source: MUNIC_BND_UPPER_AND_DIST_FT (LIO Warehouse)],LIO_Open03/13,boundary,province,"MUNID, MUNICIPAL_NAME, MUNICIPAL_TYPE","filter, pagination, geometry simplification",Open Government Licence – Ontario,sf::st_read(url),unknown (check EFFECTIVE_DATETIME),high,"Feature count: 98, GeoJSON support: True",TRUE
Municipal Bnd Lower And Single,This data is subject to terms of use. [Source: MUNIC_BND_LOWER_AND_SINGLE_FT (LIO Warehouse)],LIO_Open03/14,boundary,province,"MUNID, MUNICIPAL_NAME, MUNICIPAL_TYPE, UPPER_TIER_MUNICIPALITY","filter, pagination, geometry simplification",Open Government Licence – Ontario,sf::st_read(url),unknown (check EFFECTIVE_DATETIME),high,"Feature count: 685, GeoJSON support: True",TRUE
Conservation Authority Admin Area,This data is subject to terms of use. [Source: CONS_AUTH_ADMIN_AREA_FT (LIO Warehouse)],LIO_Open03/11,boundary,province,"CA_ID, LEGAL_NAME, COMMON_NAME","filter, pagination, geometry simplification",Open Government Licence – Ontario,sf::st_read(url),unknown (check EFFECTIVE_DATETIME),medium,"Feature count: 36, GeoJSON support: True",FALSE
Province,This data is subject to terms of use. [Source: PROVINCE_FT (LIO Warehouse)],LIO_Open03/0,boundary,province,OFFICIAL_NAME,"filter, pagination, geometry simplification",Open Government Licence – Ontario,sf::st_read(url),unknown (check EFFECTIVE_DATETIME),low,"Feature count: 1, GeoJSON support: True",FALSE
MOH Service Location,This data is subject to terms of use.,LIO_Open09/26,facility,province,"MOH_SERVICE_PROVIDER_IDENT, SERVICE_TYPE, ENGLISH_NAME, POSTAL_CODE","filter, pagination, geometry simplification",Open Government Licence – Ontario,sf::st_read(url),unknown (check EFFECTIVE_DATETIME),high,"Feature count: 11625, GeoJSON support: True",TRUE
Airport Official,This data is subject to terms of use.,LIO_Open05/0,boundary,province,"AIRPORT_IDENT, NAME, AIRPORT_TYPE","filter, pagination, geometry simplification",Open Government Licence – Ontario,sf::st_read(url),unknown (check EFFECTIVE_DATETIME),medium,"Feature count: 403, GeoJSON support: True",FALSE
ORWN Station,This data is subject to terms of use.,LIO_Open04/15,facility,province,"STENNAME, STNTYPE, TRACKNAME","filter, pagination, geometry simplification",Open Government Licence – Ontario,sf::st_read(url),unknown (check EFFECTIVE_DATETIME),medium,"Feature count: 671, GeoJSON support: True",FALSE
Waste Management Site,This data is subject to terms of use.,LIO_Open08/9,boundary,province,"SITE_NAME, PRIMARY_CLASSIFICATION, STATUS","filter, pagination, geometry simplification",Open Government Licence – Ontario,sf::st_read(url),unknown (check EFFECTIVE_DATETIME),medium,"Feature count: 813, GeoJSON support: True",FALSE
Monitoring Station Point,This data is subject to terms of use.,LIO_Open08/30,facility,province,"STATION_NAME, STATION_NO, NETWORK_NAME","filter, pagination, geometry simplification",Open Government Licence – Ontario,sf::st_read(url),unknown (check EFFECTIVE_DATETIME),low,"Feature count: 2588, GeoJSON support: True",FALSE
Fire Aviation and Emergency Facility Point,This data is subject to terms of use.,LIO_Open05/21,facility,province,"FACILITY_NAME, FACILITY_TYPE","filter, pagination, geometry simplification",Open Government Licence – Ontario,sf::st_read(url),unknown (check EFFECTIVE_DATETIME),low,"Feature count: 70, GeoJSON support: True",FALSE
